match_id,radiant_win,duration,radiant_gold,dire_gold,radiant_gold_div,radiant_xp,dire_xp,radiant_xp_div,radiant_wards,dire_wards,radiant_wards_div,radiant_towers_destroyed,dire_towers_destroyed,radiant_towers_destroyed_div,radiant_first_blood
8796335304,False,1486,13428,15704,-2276,14870,17924,-3054,9,12,-3,0,0,0,1
8796335215,False,2541,14472,16214,-1742,15255,18410,-3155,15,15,0,0,0,0,0
8796335084,False,2561,14672,16729,-2057,14507,17167,-2660,14,10,4,0,0,0,0
8796335080,True,2036,15254,13468,1786,16628,15023,1605,13,12,1,0,0,0,1
8796334864,False,2597,13359,15592,-2233,15055,15697,-642,13,13,0,0,1,-1,0
8796334664,False,2175,13182,14878,-1696,15551,16196,-645,14,11,3,0,0,0,1
8796334569,True,2020,16881,15190,1691,17676,15424,2252,10,14,-4,0,0,0,0
8796334529,True,1976,14402,15710,-1308,15066,17728,-2662,12,11,1,1,1,0,1
8796334290,True,1982,17783,13837,3946,17095,14988,2107,8,6,2,2,0,2,1
8796334261,True,2301,16109,15781,328,16934,15898,1036,13,17,-4,0,0,0,1
8796334260,False,2730,16336,16146,190,16131,15920,211,9,12,-3,1,0,1,0
8796334112,False,3790,14300,14439,-139,15984,15075,909,14,12,2,0,0,0,1
8796334074,True,3826,16415,15189,1226,16618,17223,-605,10,7,3,1,0,1,1
8796334029,True,2102,18033,14733,3300,19172,16667,2505,15,10,5,1,0,1,0
8796333920,True,2532,15625,14064,1561,16245,15016,1229,10,6,4,0,0,0,1
8796333820,True,1355,16905,13267,3638,16963,14421,2542,13,13,0,3,0,3,1
8796333706,False,2338,14846,15003,-157,15249,16325,-1076,11,8,3,1,0,1,0
8796333615,False,2393,13863,16169,-2306,15093,16739,-1646,13,11,2,1,1,0,0
8796333347,False,2962,13911,12728,1183,14216,14813,-597,11,10,1,0,0,0,0
8796333267,True,3050,15762,14187,1575,17588,15602,1986,7,11,-4,0,0,0,0
8796332972,False,2067,12628,16308,-3680,13676,16985,-3309,13,12,1,0,1,-1,1
8796332701,True,1635,15756,12241,3515,17038,13900,3138,10,10,0,0,0,0,0
8796332652,True,3120,15310,14823,487,15411,15564,-153,6,9,-3,1,0,1,1
8796332404,True,2610,16937,14833,2104,17335,16177,1158,15,13,2,0,0,0,0
8796332354,True,1810,16822,15444,1378,16810,16024,786,13,14,-1,0,0,0,0
8796332321,True,2577,16973,14922,2051,17370,14315,3055,13,11,2,0,0,0,0
8796332205,True,2724,12892,14760,-1868,14429,16053,-1624,14,11,3,0,0,0,0
8796331971,False,2594,13962,15249,-1287,15358,16478,-1120,14,8,6,0,1,-1,0
8796331752,False,1941,12369,17515,-5146,13726,17555,-3829,10,12,-2,0,0,0,0
8796331590,False,1700,13709,14753,-1044,14456,15187,-731,9,10,-1,0,0,0,1
8796331443,False,1988,17880,14659,3221,18593,15783,2810,12,12,0,1,0,1,1
8796331374,True,2148,12510,16446,-3936,13741,16375,-2634,10,6,4,0,1,-1,0
8796331145,True,2355,14740,13445,1295,15858,14603,1255,13,7,6,0,0,0,1
8796331038,False,2292,15199,15515,-316,15346,16320,-974,9,10,-1,0,0,0,0
8796330821,True,3388,17064,17079,-15,19007,18194,813,9,10,-1,0,0,0,0
8796330770,True,2126,15814,15980,-166,16488,16265,223,9,12,-3,0,0,0,0
8796330742,True,1540,16879,14375,2504,17421,15893,1528,8,8,0,1,0,1,0
8796330688,True,2308,13006,15135,-2129,14170,16311,-2141,10,6,4,0,0,0,0
8796330365,False,1999,16343,17833,-1490,16307,19326,-3019,11,9,2,0,1,-1,0
8796330328,True,1812,14663,14961,-298,15949,15772,177,10,11,-1,0,0,0,1
8796330105,True,3151,15849,14255,1594,18092,16474,1618,13,8,5,0,0,0,1
8796330084,True,2101,16116,14678,1438,18080,14671,3409,11,15,-4,0,0,0,1
8796330054,True,2261,13783,14184,-401,15507,15771,-264,12,16,-4,0,0,0,0
8796330009,False,2372,13895,17075,-3180,14961,17321,-2360,9,11,-2,0,1,-1,0
8796329869,True,2476,15105,15939,-834,16098,17051,-953,12,12,0,0,0,0,0
8796329539,True,1514,15617,13382,2235,16695,14733,1962,10,13,-3,0,0,0,0
8796329373,True,1795,14307,13338,969,14784,14318,466,9,9,0,1,0,1,0
8796329287,True,2386,16218,15015,1203,17026,13703,3323,11,9,2,0,0,0,0
8796329174,True,1590,18240,14801,3439,18184,16363,1821,10,12,-2,1,0,1,1
8796329103,False,1509,11209,17054,-5845,13065,16712,-3647,10,11,-1,0,0,0,0
8796328960,True,1921,17995,15922,2073,19101,16518,2583,11,10,1,1,0,1,0
8796328674,False,3323,16179,13015,3164,18000,14283,3717,14,9,5,0,0,0,1
8796328624,True,2598,16544,17543,-999,16488,17067,-579,14,12,2,1,0,1,1
8796328622,True,1938,13354,15969,-2615,16034,16736,-702,11,11,0,0,0,0,1
8796328608,True,2385,16780,14113,2667,17816,14995,2821,14,10,4,1,0,1,1
8796328465,True,2534,15699,12701,2998,17973,13923,4050,13,12,1,0,0,0,1
8796328428,False,3117,14784,13643,1141,16537,15008,1529,9,12,-3,0,0,0,0
8796328415,True,1863,17549,14450,3099,18870,15396,3474,11,13,-2,0,0,0,1
8796328374,False,2390,16997,14983,2014,18133,16773,1360,12,13,-1,0,0,0,1
8796328151,True,3097,16040,14900,1140,16771,15585,1186,14,12,2,0,0,0,1
8796328131,False,3065,17031,12392,4639,18939,14143,4796,12,12,0,0,0,0,1
8796328024,False,2375,15159,15296,-137,16071,16025,46,11,9,2,0,1,-1,1
8796328006,False,2036,14034,17589,-3555,15120,17558,-2438,13,9,4,0,1,-1,1
8796327987,True,1615,16141,13952,2189,15919,14429,1490,11,8,3,0,0,0,1
8796327832,True,2255,15353,13415,1938,15585,13568,2017,8,10,-2,2,0,2,0
8796327691,False,2040,15006,16991,-1985,16124,17019,-895,13,6,7,1,1,0,1
8796327261,False,2295,16050,13874,2176,17025,14395,2630,10,10,0,0,0,0,0
8796326907,False,2441,15031,17946,-2915,16085,18896,-2811,13,13,0,0,1,-1,1
8796326803,False,1803,12612,17659,-5047,14377,17659,-3282,14,10,4,0,1,-1,0
8796326791,True,2670,14190,13670,520,15490,16233,-743,14,14,0,0,0,0,1
8796326666,False,2491,13944,14631,-687,14939,15960,-1021,13,11,2,0,0,0,1
8796326573,False,3273,13785,15529,-1744,15002,16374,-1372,12,9,3,0,0,0,1
8796326461,False,2913,15146,16394,-1248,16462,17424,-962,12,12,0,0,0,0,0
8796326442,False,1306,15857,19435,-3578,15699,20345,-4646,12,9,3,0,0,0,0
8796326365,False,1759,12091,16880,-4789,13518,18035,-4517,13,10,3,0,0,0,1
8796326359,False,2227,14472,15013,-541,15875,15558,317,8,11,-3,0,0,0,1
8796326217,True,2426,15673,16015,-342,16720,16249,471,13,12,1,0,1,-1,0
8796326033,False,1573,14915,17331,-2416,15878,19289,-3411,9,12,-3,0,0,0,1
8796325984,True,2592,17797,15465,2332,16825,16044,781,14,11,3,0,0,0,1
8796325675,True,2834,15237,14302,935,16085,15091,994,11,12,-1,0,0,0,1
8796325262,False,2242,16211,17224,-1013,15080,16386,-1306,11,17,-6,1,1,0,0
8796325172,True,1899,16708,13128,3580,16919,14522,2397,12,14,-2,1,0,1,1
8796325166,True,2828,15390,18109,-2719,14486,18057,-3571,10,11,-1,0,1,-1,0
8796325151,True,2047,14126,13660,466,16166,14289,1877,9,11,-2,0,0,0,0
8796324923,True,1834,14721,14367,354,15121,15349,-228,11,11,0,0,1,-1,1
8796324839,False,2561,17909,13854,4055,18417,15514,2903,12,12,0,1,0,1,1
8796324835,False,1953,13632,15871,-2239,13771,17652,-3881,14,11,3,0,1,-1,0
8796324356,True,2355,15676,16263,-587,16536,17941,-1405,11,11,0,0,0,0,0
8796324216,False,2582,14541,17388,-2847,15247,18441,-3194,8,6,2,0,0,0,1
8796324118,True,1575,17485,12463,5022,17353,14785,2568,14,6,8,1,0,1,1
8796323905,True,2133,15056,14078,978,16162,14082,2080,12,14,-2,1,0,1,1
